id;card_1;card_2;card_3;card_4;card_5;player_1_id;player_2_id;p_1_pot;p_2_pot;pot
1;78513;77697;16705;75787;65747;75356;46913;75815;91802;21569
2;95882;82892;42395;45877;79933;88142;360;38385;5928;27194
3;3062;80156;28424;14941;27948;93721;18268;24978;40745;4554
4;98636;57345;74180;49553;56662;87189;18910;17044;95828;15000
5;57285;50054;69063;86494;99672;53638;32594;53519;65419;96064
6;26193;35371;66557;95035;85916;90255;49359;44698;44624;41797
7;71817;48023;18693;63736;48643;92493;69039;74870;7090;47881
8;3301;76115;79121;47733;68547;42520;66091;53569;51351;86535
9;51359;53936;38632;95361;30834;83328;40785;1379;98869;36624
10;448;56401;20406;91296;60782;24992;56275;76205;87562;86486
